//! STRINGS.TXT REFERENCE FILE: make a copy, remove this line, and follow the instructions to add/update languages -- Autogenerated, Last Updated: 2026-03-23T22:37:35.217116+00:00

//! This file must be encoded with UTF-8 (e.g. with Windows Notepad)
//! LICENSE: This localization file is part of JPEGView <https://github.com/sylikc/jpegview> and distributed under the same license.  See <https://github.com/sylikc/jpegview/blob/master/LICENSE.txt> for more info.

//! Standard  Filename Convention: 'strings_%languagecode%.txt' where %languagecode% is the ISO 639-1 language code e.g. 'en' for English (See <https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes>)
//! Alternate Filename Convention: 'strings_%languagecode%-%countrycode%.txt' where %countrycode% is the ISO 3166-1 country code e.g. 'US' for United States (See <https://en.wikipedia.org/wiki/List_of_ISO_3166_country_codes>)
//!    Use the alternate filename convention only when the standard filename already exist (e.g. specifying a country-specific dialect for an existing language)

////////////////////
// ::: Translation Info ::: //
//: ISO 639-1 code: ar
//: ISO 3166-1 code:
//: Language: Arabic
//: Translator(s) - Name <github.com/azizr12>: Qwen // azizr12
//: Last Updated: 2026-08-18
//: Additional Notes: Arabic translation for JPEGView
////////////////////

////////////////////
// ::: Instructions / Help ::: (help for translators only, does not need to be translated) //

//? Line Format:    English string<tab>Translated string<newline>
//? * Lines beginning with "//" (comments) are ignored
//? * Blank lines are ignored
//? * Lines without a <tab> are ignored
//? * Lines with no text after the <tab> are ignored
//? * Multiple tabs are permitted between English and Translated string, e.g. this is valid:    English string<tab><tab><tab>Translated string<newline>

//? NOTE: %s %d have special meanings in the strings, so make sure they appear somewhere in the translated string!

//? For the strings below which are short and have no context:
//?   "in"        in context: is shorthand for "inch"
//?   "cm"        in context: is shorthand for "centimeter"
//?   "C - R"     in context: is "Cyan Red" colors
//?   "M - G"     in context: is "Magenta Green" colors
//?   "Y - B"     in context: is "Yellow Blue" colors
//?   "yes"/"no"  in context: is for showing EXIF flags
//?   "on"/"off"  in context: is for showing a setting active or not
//?   "Filter"    in context: is used in Resize image, "sampling filter"
//?   "Box"       in context: is used in Resize image sampling filter "Box filter"
////////////////////


// ::: Program Strings ::: (sorted alphabetically) //
%d file(s) renamed, %d file(s) copied, %d folder(s) created	%d ملف(ملفات) تم إعادة تسميتها، %d ملف(ملفات) تم نسخها، %d مجلد(مجلدات) تم إنشاؤها
%s camera raw images (embedded JPEGs only)	%s صور خام للكاميرا (JPEG مضمن فقط)
%s images	%s صور
%s images (processed by Window Imaging Component - WIC)	%s صور (تمت معالجتها بواسطة مكون تصوير النوافذ - WIC)
'My Pictures' folder	مجلد 'صورى'
About JPEGView (32-bit version)...	حول JPEGView (إصدار 32 بت)...
About JPEGView (64-bit version)...	حول JPEGView (إصدار 64 بت)...
Acquisition date:	تاريخ الالتقاط:
Actual size of image	الحجم الفعلي للصورة
Align image to horizontal or vertical line	محاذاة الصورة إلى خط أفقي أو عمودي
Alignment:	المحاذاة:
All Files	كل الملفات
All existing user settings will be preserved.	سيتم الحفاظ على جميع إعدادات المستخدم الحالية.
Alternatively, right-click an image file of the given type in Windows Explorer and select 'Open with... > Choose default program'	بدلاً من ذلك، انقر بزر الماوس الأيمن على ملف صورة من النوع المحدد في مستكشف ويندوز وحدد 'فتح باستخدام... > اختيار البرنامج الافتراضي'
Altitude (m):	الارتفاع (م):
Amount	الكمية
Application:	التطبيق:
Applications	التطبيقات
Apply	تطبيق
Apply Unsharp Mask	تطبيق قناع الوضوح (Unsharp Mask)
Apply auto contrast correction using only visible section of image	تطبيق تصحيح التباين التلقائي باستخدام الجزء المرئي فقط من الصورة
Ascending	تصاعدي
Auto contrast and color correction	تصحيح التباين واللون التلقائي
Auto crop corrected image (avoids black border)	قص الصورة المصححة تلقائياً (يتجنب الحدود السوداء)
Auto crop rotated image (avoids black border)	قص الصورة المدورة تلقائياً (يتجنب الحدود السوداء)
Auto zoom mode	وضع التكبير التلقائي
Back mouse button	زر الماوس الخلفي
Batch rename/copy of files	إعادة تسمية/نسخ ملفات على دفعات
Blend	مزج
Book Mode	وضع الكتاب
Bottom	أسفل
Box	مربع
Brightness	السطوع
Browse...	تصفح...
C - R	سماوي - أحمر
Camera model:	طراز الكاميرا:
Can't rename file	لا يمكن إعادة تسمية الملف
Cancel	إلغاء
Cannot read from parameter DB file '%s'!	لا يمكن القراءة من ملف قاعدة بيانات المعلمات '%s'!
Cannot read parameter DB file '%s' because it is too large!	لا يمكن قراءة ملف قاعدة بيانات المعلمات '%s' لأنه كبير جداً!
Cannot write to parameter DB file '%s'!	لا يمكن الكتابة في ملف قاعدة بيانات المعلمات '%s'!
Click and drag the mouse vertically to correct image tilt.	انقر واسحب الماوس عمودياً لتصحيح ميلان الصورة.
Clipboard Image	صورة الحافظة
Close	إغلاق
Close help text display / Close JPEGView	إغلاق عرض نص المساعدة / إغلاق JPEGView
Color Correction	تصحيح اللون
Combine keys with '+'	دمج المفاتيح مع '+'
Confirm	تأكيد
Confirm save default parameters	تأكيد حفظ المعلمات الافتراضية
Conflicting entries in Param DB	تعارض في الإدخالات في قاعدة بيانات المعلمات
Continue rename/copy?	متابعة إعادة التسمية/النسخ؟
Contrast	التباين
Contrast Correction	تصحيح التباين
Copy file path of the image to clipboard	نسخ مسار ملف الصورة إلى الحافظة
Copy screen to clipboard / Copy processed full size image to clipboard	نسخ الشاشة إلى الحافظة / نسخ الصورة المعالجة بالحجم الكامل إلى الحافظة
Copying parameter DB to file '%s' failed. Reason: %s	فشل نسخ قاعدة بيانات المعلمات إلى الملف '%s'. السبب: %s
Correct converging lines (perspective correction)	تصحيح الخطوط المتقاربة (تصحيح المنظور)
Creation date/time	تاريخ/وقت الإنشاء
Crop image	قص الصورة
Crop the image and apply transformation? Cropping cannot be undone!	قص الصورة وتطبيق التحويل؟ لا يمكن التراجع عن القص!
Ctrl + Left mouse	Ctrl + زر الماوس الأيسر
Current image	الصورة الحالية
Cyan-Red	سماوي-أحمر
Darken Highlights	تغميق الإضاءات
Date	التاريخ
Date placeholders use the modification date of the image.	تستخدم العناصر النائبة للتاريخ تاريخ تعديل الصورة.
Day / Month / Year (as numbers)	يوم / شهر / سنة (كأرقام)
Decoding this format requires the Microsoft Visual C++ Redistributable.	فك تشفير هذا التنسيق يتطلب حزمة Microsoft Visual C++ Redistributable.
Deep Shadows	الظلال العميقة
Delete	حذف
Delete current file on disk permanently	حذف الملف الحالي على القرص نهائياً
Delete image file	حذف ملف الصورة
Descending	تنازلي
Display image (EXIF) information	عرض معلومات الصورة (EXIF)
Do you really want to delete the current image file on disk?	هل تريد حقاً حذف ملف الصورة الحالي على القرص؟
Do you really want to permanently delete the file %filename%?	هل تريد حقاً حذف الملف %filename% نهائياً؟
Do you really want to permanently delete this file?	هل تريد حقاً حذف هذا الملف نهائياً؟
Do you really want to save the following parameters as default to the INI file	هل تريد حقاً حفظ المعلمات التالية كافتراضية في ملف INI
Drag at the left or right border for asymmetric correction.	اسحب عند الحدود اليسرى أو اليمنى للتصحيح غير المتماثل.
EXIF date successfully set on %d images, failed on %d images	تم تعيين تاريخ EXIF بنجاح على %d صور، وفشل في %d صور
Edit	تحرير
Enable/disable automatic contrast correction (histogram equalization)	تمكين/تعطيل تصحيح التباين التلقائي (تساوي المدرج التكراري)
Enable/disable automatic density correction (local brightness correction)	تمكين/تعطيل تصحيح الكثافة التلقائي (تصحيح السطوع المحلي)
Enable/disable full screen mode	تمكين/تعطيل وضع ملء الشاشة
Enable/disable high quality resampling	تمكين/تعطيل إعادة التشكيل بجودة عالية
Enable/disable keeping of geometry related (zoom/pan/rotation)	تمكين/تعطيل الاحتفاظ بالهندسة ذات الصلة (التكبير/التحريك/الدوران)
Enable/disable landscape picture enhancement mode	تمكين/تعطيل وضع تحسين صور المناظر الطبيعية
Error	خطأ
Error during rename/copy	خطأ أثناء إعادة التسمية/النسخ
Error saving file	خطأ في حفظ الملف
Error while writing the following registry key	خطأ أثناء كتابة مفتاح التسجيل التالي
Error writing file to disk!	خطأ في كتابة الملف على القرص!
